127.0.0.1 - - [02/Nov/2023:14:08:55 +0300] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:08:56 +0300] "GET /persons/ HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:08:56 +0300] "GET /persons/images/authors1.png HTTP/1.1" 200 168456
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:08:56 +0300] "GET /persons/css/bootstrap.min.css HTTP/1.1" 200 155845
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:08:56 +0300] "GET /persons/images/book1.png HTTP/1.1" 200 38668
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:08:56 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:08:57 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:08:58 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:10:39 +0300] "GET /persons/HelloRoleServlet HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:10:39 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:10:40 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:10:54 +0300] "GET /persons/BookServlet_ HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:10:54 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:10:55 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:11:01 +0300] "GET /persons/AuthorServlet_ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:11:01 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:11:02 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:11:09 +0300] "GET /persons/PersonServlet_ HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:11:09 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:11:10 +0300] "GET /favicon.ico HTTP/1.1" 404 763
