0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:18:38 +0300] "GET /persons/views/js/bootstrap.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:18:38 +0300] "GET /persons/views/images/authors1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:18:38 +0300] "GET /persons/views/images/book1.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:18:38 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:18:38 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:18:38 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:18:39 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:47 +0300] "GET /persons/ HTTP/1.1" 200 2125
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:47 +0300] "GET /persons/js/jquery-3.6.4.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:48 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:49 +0300] "GET /persons/views/book.jsp HTTP/1.1" 200 4029
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:49 +0300] "GET /persons/views/css/bootstrap.min.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:49 +0300] "GET /persons/views/js/jquery-3.6.4.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:49 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:49 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:49 +0300] "GET /persons/views/js/bootstrap.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:49 +0300] "GET /persons/views/images/authors1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:49 +0300] "GET /persons/views/images/book1.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:49 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:49 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:49 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:50 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:19:52 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:20:10 +0300] "GET /persons/ HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:20:10 +0300] "GET /persons/js/jquery-3.6.4.js HTTP/1.1" 404 786
